<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS-12.18,1,17/09/18,11:10,107400.0000000,107460.0000000,107400.0000000,107430.0000000,50
SPFB.RTS-12.18,1,17/09/18,11:11,107400.0000000,107440.0000000,107350.0000000,107440.0000000,74
SPFB.RTS-12.18,1,17/09/18,11:12,107470.0000000,107500.0000000,107460.0000000,107500.0000000,43
SPFB.RTS-12.18,1,17/09/18,11:13,107510.0000000,107590.0000000,107510.0000000,107560.0000000,61
SPFB.RTS-12.18,1,17/09/18,11:14,107580.0000000,107580.0000000,107530.0000000,107560.0000000,185
SPFB.RTS-12.18,1,17/09/18,11:15,107570.0000000,107570.0000000,107530.0000000,107560.0000000,22
SPFB.RTS-12.18,1,17/09/18,11:16,107570.0000000,107640.0000000,107570.0000000,107630.0000000,14
SPFB.RTS-12.18,1,17/09/18,11:17,107670.0000000,107670.0000000,107650.0000000,107670.0000000,11
SPFB.RTS-12.18,1,17/09/18,11:18,107670.0000000,107670.0000000,107620.0000000,107620.0000000,18
SPFB.RTS-12.18,1,17/09/18,11:19,107680.0000000,107680.0000000,107650.0000000,107650.0000000,8
SPFB.RTS-12.18,1,17/09/18,11:20,107660.0000000,107660.0000000,107660.0000000,107660.0000000,1
SPFB.RTS-12.18,1,17/09/18,11:21,107660.0000000,107660.0000000,107640.0000000,107650.0000000,200
SPFB.RTS-12.18,1,17/09/18,11:22,107650.0000000,107650.0000000,107580.0000000,107580.0000000,40
SPFB.RTS-12.18,1,17/09/18,11:23,107570.0000000,107570.0000000,107530.0000000,107550.0000000,35
SPFB.RTS-12.18,1,17/09/18,11:24,107520.0000000,107550.0000000,107480.0000000,107550.0000000,38
SPFB.RTS-12.18,1,17/09/18,11:25,107570.0000000,107630.0000000,107560.0000000,107630.0000000,15
SPFB.RTS-12.18,1,17/09/18,11:26,107620.0000000,107690.0000000,107620.0000000,107620.0000000,18
SPFB.RTS-12.18,1,17/09/18,11:27,107680.0000000,107680.0000000,107600.0000000,107610.0000000,25
SPFB.RTS-12.18,1,17/09/18,11:28,107600.0000000,107600.0000000,107570.0000000,107570.0000000,18
SPFB.RTS-12.18,1,17/09/18,11:29,107540.0000000,107590.0000000,107530.0000000,107570.0000000,17
SPFB.RTS-12.18,1,17/09/18,11:30,107560.0000000,107640.0000000,107550.0000000,107580.0000000,120
SPFB.RTS-12.18,1,17/09/18,11:31,107600.0000000,107620.0000000,107580.0000000,107620.0000000,29
SPFB.RTS-12.18,1,17/09/18,11:32,107640.0000000,107640.0000000,107570.0000000,107570.0000000,12
SPFB.RTS-12.18,1,17/09/18,11:33,107580.0000000,107620.0000000,107580.0000000,107620.0000000,39
SPFB.RTS-12.18,1,17/09/18,11:34,107620.0000000,107640.0000000,107550.0000000,107610.0000000,801
SPFB.RTS-12.18,1,17/09/18,11:35,107590.0000000,107620.0000000,107580.0000000,107620.0000000,82
SPFB.RTS-12.18,1,17/09/18,11:36,107620.0000000,107630.0000000,107600.0000000,107600.0000000,23
SPFB.RTS-12.18,1,17/09/18,11:37,107650.0000000,107660.0000000,107580.0000000,107580.0000000,17
SPFB.RTS-12.18,1,17/09/18,11:38,107600.0000000,107650.0000000,107600.0000000,107650.0000000,3
SPFB.RTS-12.18,1,17/09/18,11:39,107620.0000000,107620.0000000,107590.0000000,107590.0000000,19
SPFB.RTS-12.18,1,17/09/18,11:40,107590.0000000,107610.0000000,107590.0000000,107610.0000000,3
SPFB.RTS-12.18,1,17/09/18,11:41,107600.0000000,107640.0000000,107600.0000000,107630.0000000,26
SPFB.RTS-12.18,1,17/09/18,11:42,107640.0000000,107640.0000000,107570.0000000,107580.0000000,39
SPFB.RTS-12.18,1,17/09/18,11:43,107590.0000000,107590.0000000,107570.0000000,107580.0000000,24
SPFB.RTS-12.18,1,17/09/18,11:44,107570.0000000,107570.0000000,107540.0000000,107560.0000000,23
SPFB.RTS-12.18,1,17/09/18,11:45,107550.0000000,107590.0000000,107530.0000000,107540.0000000,32
SPFB.RTS-12.18,1,17/09/18,11:46,107510.0000000,107560.0000000,107490.0000000,107530.0000000,42
SPFB.RTS-12.18,1,17/09/18,11:47,107580.0000000,107580.0000000,107580.0000000,107580.0000000,12
SPFB.RTS-12.18,1,17/09/18,11:48,107530.0000000,107530.0000000,107520.0000000,107520.0000000,6
SPFB.RTS-12.18,1,17/09/18,11:49,107500.0000000,107530.0000000,107470.0000000,107530.0000000,63
SPFB.RTS-12.18,1,17/09/18,11:50,107470.0000000,107470.0000000,107470.0000000,107470.0000000,10
SPFB.RTS-12.18,1,17/09/18,11:51,107480.0000000,107500.0000000,107470.0000000,107490.0000000,17
SPFB.RTS-12.18,1,17/09/18,11:52,107500.0000000,107560.0000000,107500.0000000,107550.0000000,28
SPFB.RTS-12.18,1,17/09/18,11:53,107550.0000000,107550.0000000,107520.0000000,107520.0000000,10
SPFB.RTS-12.18,1,17/09/18,11:54,107530.0000000,107530.0000000,107500.0000000,107500.0000000,10
SPFB.RTS-12.18,1,17/09/18,11:55,107490.0000000,107490.0000000,107490.0000000,107490.0000000,1
SPFB.RTS-12.18,1,17/09/18,11:56,107470.0000000,107480.0000000,107450.0000000,107460.0000000,39
SPFB.RTS-12.18,1,17/09/18,11:57,107450.0000000,107450.0000000,107440.0000000,107440.0000000,112
SPFB.RTS-12.18,1,17/09/18,11:58,107440.0000000,107470.0000000,107410.0000000,107470.0000000,115
SPFB.RTS-12.18,1,17/09/18,11:59,107480.0000000,107500.0000000,107470.0000000,107470.0000000,24
SPFB.RTS-12.18,1,17/09/18,12:00,107460.0000000,107460.0000000,107460.0000000,107460.0000000,3
SPFB.RTS-12.18,1,17/09/18,12:01,107460.0000000,107470.0000000,107430.0000000,107430.0000000,75
SPFB.RTS-12.18,1,17/09/18,12:02,107460.0000000,107500.0000000,107460.0000000,107500.0000000,12
SPFB.RTS-12.18,1,17/09/18,12:03,107480.0000000,107480.0000000,107410.0000000,107410.0000000,81
SPFB.RTS-12.18,1,17/09/18,12:04,107400.0000000,107400.0000000,107380.0000000,107380.0000000,73
SPFB.RTS-12.18,1,17/09/18,12:05,107390.0000000,107390.0000000,107390.0000000,107390.0000000,1
SPFB.RTS-12.18,1,17/09/18,12:06,107400.0000000,107410.0000000,107340.0000000,107410.0000000,110
SPFB.RTS-12.18,1,17/09/18,12:07,107450.0000000,107460.0000000,107450.0000000,107460.0000000,13
SPFB.RTS-12.18,1,17/09/18,12:08,107470.0000000,107540.0000000,107460.0000000,107540.0000000,35
SPFB.RTS-12.18,1,17/09/18,12:09,107540.0000000,107540.0000000,107450.0000000,107450.0000000,9
SPFB.RTS-12.18,1,17/09/18,12:10,107460.0000000,107500.0000000,107450.0000000,107450.0000000,4
SPFB.RTS-12.18,1,17/09/18,12:11,107430.0000000,107430.0000000,107430.0000000,107430.0000000,1
SPFB.RTS-12.18,1,17/09/18,12:12,107420.0000000,107520.0000000,107400.0000000,107520.0000000,116
SPFB.RTS-12.18,1,17/09/18,12:13,107530.0000000,107560.0000000,107500.0000000,107540.0000000,128
SPFB.RTS-12.18,1,17/09/18,12:14,107530.0000000,107560.0000000,107490.0000000,107520.0000000,89
SPFB.RTS-12.18,1,17/09/18,12:15,107490.0000000,107540.0000000,107490.0000000,107510.0000000,40
SPFB.RTS-12.18,1,17/09/18,12:16,107500.0000000,107500.0000000,107470.0000000,107470.0000000,65
SPFB.RTS-12.18,1,17/09/18,12:17,107410.0000000,107410.0000000,107410.0000000,107410.0000000,2
SPFB.RTS-12.18,1,17/09/18,12:19,107400.0000000,107420.0000000,107390.0000000,107420.0000000,8
SPFB.RTS-12.18,1,17/09/18,12:20,107410.0000000,107410.0000000,107410.0000000,107410.0000000,4
SPFB.RTS-12.18,1,17/09/18,12:21,107390.0000000,107390.0000000,107370.0000000,107390.0000000,51
SPFB.RTS-12.18,1,17/09/18,12:22,107380.0000000,107420.0000000,107380.0000000,107420.0000000,6
SPFB.RTS-12.18,1,17/09/18,12:23,107410.0000000,107410.0000000,107410.0000000,107410.0000000,7
SPFB.RTS-12.18,1,17/09/18,12:24,107400.0000000,107410.0000000,107400.0000000,107410.0000000,4
SPFB.RTS-12.18,1,17/09/18,12:25,107420.0000000,107420.0000000,107420.0000000,107420.0000000,5
SPFB.RTS-12.18,1,17/09/18,12:26,107410.0000000,107470.0000000,107410.0000000,107470.0000000,12
SPFB.RTS-12.18,1,17/09/18,12:27,107500.0000000,107510.0000000,107500.0000000,107510.0000000,17
SPFB.RTS-12.18,1,17/09/18,12:28,107520.0000000,107560.0000000,107520.0000000,107550.0000000,23
SPFB.RTS-12.18,1,17/09/18,12:29,107570.0000000,107650.0000000,107560.0000000,107600.0000000,132
SPFB.RTS-12.18,1,17/09/18,12:30,107640.0000000,107670.0000000,107640.0000000,107670.0000000,33
SPFB.RTS-12.18,1,17/09/18,12:31,107650.0000000,107650.0000000,107600.0000000,107600.0000000,21
